#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Mon Feb 26 16:12:10 CET 2018
#------------------------------------------------------
# Location    : terneuzen
# Position    : (3.820107,51.337192)
# Source      : observed
# Unit        : waterlevel_astro
# Analyse time: 000000000000
# Timezone    : GMT
#------------------------------------------------------
201312051910   -0.5600
201312051920   -0.7100
201312051930   -0.8400
201312051940   -0.9700
201312051950   -1.1000
201312052000   -1.2200
201312052010   -1.3500
201312052020   -1.4700
201312052030   -1.6000
201312052040   -1.7300
201312052050   -1.8400
201312052100   -1.9300
201312052110   -1.9900
201312052120   -2.0200
201312052130   -2.0100
201312052140   -1.9700
201312052150   -1.8800
201312052200   -1.7700
201312052210   -1.6500
201312052220   -1.5200
201312052230   -1.3900
201312052240   -1.2700
201312052250   -1.1600
201312052300   -1.0600
201312052310   -0.9800
201312052320   -0.8900
201312052330   -0.8100
201312052340   -0.7200
201312052350   -0.6300
201312060000   -0.5400
201312060010   -0.4400
201312060020   -0.3400
201312060030   -0.2500
201312060040   -0.1600
201312060050   -0.0600
201312060100   0.0600
201312060110   0.2000
201312060120   0.3700
201312060130   0.5700
201312060140   0.8200
201312060150   1.1000
201312060200   1.4000
201312060210   1.7000
201312060220   1.9900
201312060230   2.2500
201312060240   2.4600
201312060250   2.6100
201312060300   2.6900
201312060310   2.7100
201312060320   2.6800
201312060330   2.6100
201312060340   2.5200
201312060350   2.4200
201312060400   2.3200
201312060410   2.2400
201312060420   2.1600
201312060430   2.0900
201312060440   2.0200
201312060450   1.9500
201312060500   1.8700
201312060510   1.7600
201312060520   1.6400
201312060530   1.5100
201312060540   1.3500
201312060550   1.1800
201312060600   1.0100
201312060610   0.8300
201312060620   0.6500
201312060630   0.4600
201312060640   0.2800
201312060650   0.0900
201312060700   -0.0900
201312060710   -0.2700
201312060720   -0.4400
201312060730   -0.6100
201312060740   -0.7700
201312060750   -0.9200
201312060800   -1.0600
201312060810   -1.1900
201312060820   -1.3200
201312060830   -1.4600
201312060840   -1.5900
201312060850   -1.7200
201312060900   -1.8500
201312060910   -1.9800
201312060920   -2.0900
201312060930   -2.1800
201312060940   -2.2400
201312060950   -2.2600
201312061000   -2.2500
201312061010   -2.2100
201312061020   -2.1300
201312061030   -2.0400
201312061040   -1.9400
201312061050   -1.8300
201312061100   -1.7200
201312061110   -1.6100
201312061120   -1.5000
201312061130   -1.3900
201312061140   -1.2800
201312061150   -1.1600
201312061200   -1.0400
201312061210   -0.9200
201312061220   -0.7900
201312061230   -0.6600
201312061240   -0.5400
201312061250   -0.4300
201312061300   -0.3100
201312061310   -0.1900
201312061320   -0.0600
201312061330   0.1000
201312061340   0.2900
